address,borocode
92A MACKAY PLACE,3
7014 LOUISE TERRACE,3
82 68 STREET,3
110 74 STREET,3
122 BAY RIDGE PARKWAY,3
7112 COLONIAL ROAD,3
101 71 STREET,3
89 70 STREET,3
92 BAY RIDGE AVENUE,3
7012 LOUISE TERRACE,3
85 BAY RIDGE AVENUE,3
7108 COLONIAL ROAD,3
111 BAY RIDGE PARKWAY,3
7010 LOUISE TERRACE,3
94 MACKAY PLACE,3
7106 COLONIAL ROAD,3
84 68 STREET,3
103 74 STREET,3
128 73 STREET,3
112 74 STREET,3
7124 COLONIAL ROAD,3
103 71 STREET,3
7008 LOUISE TERRACE,3
91 70 STREET,3
7102 COLONIAL ROAD,3
94 BAY RIDGE AVENUE,3
96 MACKAY PLACE,3
7006 LOUISE TERRACE,3
115 BAY RIDGE PARKWAY,3
87 BAY RIDGE AVENUE,3
130 BAY RIDGE PARKWAY,3
105 71 STREET,3
7004 LOUISE TERRACE,3
86 68 STREET,3
105 74 STREET,3
93 70 STREET,3
114 74 STREET,3
130 73 STREET,3
COLONIAL ROAD,3
7002 LOUISE TERRACE,3
98 MACKAY PLACE,3
119 BAY RIDGE PARKWAY,3
98 BAY RIDGE AVENUE,3
7040 COLONIAL ROAD,3
91 BAY RIDGE AVENUE,3
88 68 STREET,3
116 74 STREET,3
109 74 STREET,3
100 MACKAY PLACE,3
95 70 STREET,3
132 73 STREET,3
,3
130 72 STREET,3
121 BAY RIDGE PARKWAY,3
90 68 STREET,3
100 BAY RIDGE AVENUE,3
111 74 STREET,3
97 70 STREET,3
6834 BLISS TERRACE,3
120 74 STREET,3
134 73 STREET,3
6832 BLISS TERRACE,3
7023 LOUISE TERRACE,3
123 BAY RIDGE PARKWAY,3
6830 BLISS TERRACE,3
92 68 STREET,3
115 74 STREET,3
136 73 STREET,3
7019 LOUISE TERRACE,3
102 BAY RIDGE AVENUE,3
122 74 STREET,3
99 70 STREET,3
6828 BLISS TERRACE,3
7017 LOUISE TERRACE,3
6826 BLISS TERRACE,3
94 68 STREET,3
125 BAY RIDGE PARKWAY,3
7015 LOUISE TERRACE,3
146 76 STREET,3
6824 BLISS TERRACE,3
117 74 STREET,3
7013 LOUISE TERRACE,3
101 70 STREET,3
138 73 STREET,3
104 BAY RIDGE AVENUE,3
130 74 STREET,3
6820 BLISS TERRACE,3
7011 LOUISE TERRACE,3
6818 BLISS TERRACE,3
7009 LOUISE TERRACE,3
